Date,High,Low,Open,Close
25/06/2007,18.06,15.8,18.06,18.06
26/06/2007,18.06,15.8,18.06,18.06
27/06/2007,18.06,15.8,18.06,18.06
28/06/2007,18.06,15.8,18.06,18.06
29/06/2007,18.06,15.8,18.06,18.06
3/7/2007,18.06,15.8,18.06,18.06
4/7/2007,18.06,15.8,18.06,18.06
5/7/2007,18.06,15.8,18.06,18.06
6/7/2007,18.06,15.8,18.06,18.06
9/7/2007,18.06,15.8,18.06,18.06
10/7/2007,18.06,15.8,18.06,18.06
11/7/2007,18.06,15.8,18.06,18.06
12/7/2007,18.06,15.8,18.06,18.06
13/07/2007,18.06,15.8,18.06,18.06
16/07/2007,18.06,15.8,18.06,18.06
17/07/2007,18.06,15.8,18.06,18.06
18/07/2007,18.06,15.8,18.06,18.06
19/07/2007,18.06,15.8,18.06,18.06
20/07/2007,18.06,15.8,18.06,18.06
23/07/2007,18.06,15.8,18.06,18.06
24/07/2007,18.07,15.8,18.06,18.07
25/07/2007,18.07,15.8,18.07,18.07
26/07/2007,18.07,15.8,18.07,18.07
27/07/2007,18.08,15.8,18.07,18.08
30/07/2007,18.08,15.8,18.08,18.08
31/07/2007,18.08,15.8,18.08,18.08
1/8/2007,18.09,15.8,18.08,18.09
2/8/2007,18.09,15.8,18.09,18.09
3/8/2007,18.09,15.8,18.09,18.09
6/8/2007,18.09,15.8,18.09,18.09
7/8/2007,18.09,15.8,18.09,18.09
8/8/2007,18.09,15.8,18.09,18.09
9/8/2007,18.09,15.8,18.09,18.09
10/8/2007,18.09,15.8,18.09,18.09
13/08/2007,19,15.8,18.09,19
14/08/2007,19,15.8,19,19
15/08/2007,19,15.8,19,19
16/08/2007,19,15.8,19,19
17/08/2007,19,15.8,19,19
20/08/2007,20,15.8,19,20
21/08/2007,20,15.8,20,20
22/08/2007,20,15.8,20,20
24/08/2007,20,15.8,20,20
27/08/2007,20,15.8,20,20
28/08/2007,20,15.8,20,20
29/08/2007,20,15.8,20,20
30/08/2007,20,15.8,20,20
31/08/2007,20,15.8,20,20
