Daily Date,High,Low,Open,Close
25/06/2007,5.46,5.460071,5.46,5.46
26/06/2007,5.46,5.460053,5.46,5.46
27/06/2007,5.45,5.450058,5.45,5.45
28/06/2007,5.45,5.450029,5.45,5.45
29/06/2007,5.45,5.450030,5.45,5.45
3/7/2007,5.45,5.450077,5.45,5.45
4/7/2007,5.45,5.450001,5.45,5.45
5/7/2007,5.45,5.450076,5.45,5.45
6/7/2007,5.45,5.450081,5.45,5.45
9/7/2007,5.45,5.450071,5.45,5.45
10/7/2007,5.45,5.450005,5.45,5.45
11/7/2007,5.45,5.450041,5.45,5.45
12/7/2007,5.45,5.450086,5.45,5.45
13/07/2007,5.45,5.450079,5.45,5.45
16/07/2007,5.45,5.450037,5.45,5.45
17/07/2007,5.45,5.450096,5.45,5.45
18/07/2007,5.45,5.450087,5.45,5.45
19/07/2007,5.45,5.450006,5.45,5.45
20/07/2007,5.45,5.450095,5.45,5.45
23/07/2007,5.45,5.450036,5.45,5.45
24/07/2007,5.45,5.450052,5.45,5.45
25/07/2007,5.45,5.450077,5.45,5.45
26/07/2007,5.45,5.450005,5.45,5.45
27/07/2007,5.45,5.450059,5.45,5.45
30/07/2007,5.45,5.450047,5.45,5.45
31/07/2007,5.45,5.450030,5.45,5.45
1/8/2007,5.45,5.450062,5.45,5.45
2/8/2007,5.45,5.450065,5.45,5.45
3/8/2007,5.48,5.480026,5.45,5.48
6/8/2007,5.48,5.480028,5.48,5.48
7/8/2007,5.48,5.480083,5.48,5.48
8/8/2007,5.48,5.480082,5.48,5.48
9/8/2007,5.48,5.480059,5.48,5.48
10/8/2007,5.48,5.480099,5.48,5.48
13/08/2007,5.48,5.480091,5.48,5.48
14/08/2007,5.48,5.480023,5.48,5.48
15/08/2007,5.48,5.480070,5.48,5.48
16/08/2007,5.48,5.480098,5.48,5.48
17/08/2007,5.48,5.480024,5.48,5.48
20/08/2007,5.48,5.480053,5.48,5.48
21/08/2007,5.48,5.480011,5.48,5.48
22/08/2007,5.48,5.480100,5.48,5.48
24/08/2007,5.48,5.480068,5.48,5.48
27/08/2007,5.48,5.480002,5.48,5.48
28/08/2007,5.48,5.480058,5.48,5.48
29/08/2007,5.48,5.480010,5.48,5.48
30/08/2007,5.48,5.480010,5.48,5.48
31/08/2007,5.48,5.480080,5.48,5.48
3/9/2007,5.48,5.480028,5.48,5.48
4/9/2007,5.48,5.480005,5.48,5.48
5/9/2007,5.49,5.490030,5.48,5.49
6/9/2007,5.49,5.490038,5.49,5.49
7/9/2007,5.49,5.490030,5.49,5.49
10/9/2007,5.49,5.490095,5.49,5.49
11/9/2007,5.49,5.490098,5.49,5.49
12/9/2007,5.49,5.490040,5.49,5.49
13/09/2007,5.49,5.490028,5.49,5.49
14/09/2007,5.49,5.490016,5.49,5.49
17/09/2007,5.49,5.490016,5.49,5.49
18/09/2007,5.49,5.490065,5.49,5.49
19/09/2007,5.49,5.490041,5.49,5.49
20/09/2007,5.49,5.490041,5.49,5.49
21/09/2007,5.49,5.490071,5.49,5.49
24/09/2007,5.49,5.490033,5.49,5.49
25/09/2007,5.49,5.490063,5.49,5.49
26/09/2007,5.49,5.490021,5.49,5.49
27/09/2007,5.49,5.490019,5.49,5.49
28/09/2007,5.49,5.490058,5.49,5.49
1/10/2007,5.49,5.490008,5.49,5.49
2/10/2007,5.49,5.490046,5.49,5.49
3/10/2007,5.49,5.490091,5.49,5.49
4/10/2007,5.49,5.490026,5.49,5.49
5/10/2007,5.49,5.490079,5.49,5.49
8/10/2007,5.49,5.490038,5.49,5.49
9/10/2007,5.49,5.490029,5.49,5.49
10/10/2007,5.49,5.490092,5.49,5.49
11/10/2007,5.49,5.490063,5.49,5.49
12/10/2007,5.49,5.490063,5.49,5.49
16/10/2007,5.49,5.490043,5.49,5.49
17/10/2007,5.49,5.490010,5.49,5.49
18/10/2007,5.49,5.490056,5.49,5.49
19/10/2007,5.49,5.490069,5.49,5.49
22/10/2007,5.49,5.490091,5.49,5.49
23/10/2007,5.49,5.490083,5.49,5.49
24/10/2007,5.49,5.490002,5.49,5.49
25/10/2007,5.49,5.490054,5.49,5.49
26/10/2007,5.49,5.490092,5.49,5.49
29/10/2007,5.49,5.490043,5.49,5.49
30/10/2007,5.49,5.490068,5.49,5.49
31/10/2007,5.49,5.490050,5.49,5.49
1/11/2007,5.49,5.490051,5.49,5.49
2/11/2007,5.49,5.490046,5.49,5.49
5/11/2007,5.49,5.490035,5.49,5.49
6/11/2007,5.49,5.490040,5.49,5.49
7/11/2007,5.49,5.490027,5.49,5.49
8/11/2007,5.49,5.490006,5.49,5.49
12/11/2007,5.49,5.490024,5.49,5.49
13/11/2007,5.49,5.490098,5.49,5.49
14/11/2007,5.49,5.490006,5.49,5.49
15/11/2007,5.49,5.490039,5.49,5.49
16/11/2007,5.49,5.490036,5.49,5.49
19/11/2007,5.49,5.490049,5.49,5.49
20/11/2007,5.49,5.490016,5.49,5.49
21/11/2007,5.49,5.490047,5.49,5.49
22/11/2007,5.49,5.490026,5.49,5.49
23/11/2007,5.49,5.490063,5.49,5.49
26/11/2007,5.49,5.490054,5.49,5.49
27/11/2007,5.49,5.490016,5.49,5.49
28/11/2007,5.49,5.490094,5.49,5.49
29/11/2007,5.49,5.490065,5.49,5.49
30/11/2007,5.49,5.490051,5.49,5.49
3/12/2007,5.49,5.490039,5.49,5.49
4/12/2007,5.49,5.490011,5.49,5.49
5/12/2007,5.49,5.490078,5.49,5.49
6/12/2007,5.49,5.490046,5.49,5.49
10/12/2007,5.49,5.490075,5.49,5.49
11/12/2007,5.49,5.490060,5.49,5.49
12/12/2007,5.49,5.490083,5.49,5.49
13/12/2007,5.49,5.490002,5.49,5.49
14/12/2007,5.49,5.490021,5.49,5.49
17/12/2007,5.49,5.490007,5.49,5.49
18/12/2007,5.49,5.490011,5.49,5.49
20/12/2007,5.49,5.490033,5.49,5.49
21/12/2007,5.49,5.490013,5.49,5.49
24/12/2007,5.49,5.490000,5.49,5.49
24/12/2007,5.49,5.490054,5.49,5.49
27/12/2007,5.49,5.490066,5.49,5.49
28/12/2007,5.49,5.490054,5.49,5.49
